BenchmarkJSON/TwitterStatus/Marshal      172	   1357771 ns/op	 465.11 MB/s	  524839 B/op	      89 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      158	   1461630 ns/op	 185.00 MB/s	  286056 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      176	   1316771 ns/op	 205.35 MB/s	  285287 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      159	   1445073 ns/op	 187.12 MB/s	  286009 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      181	   1388940 ns/op	 194.68 MB/s	  285101 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      187	   1274826 ns/op	 212.11 MB/s	  284891 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      152	   1495411 ns/op	 180.82 MB/s	  286353 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      180	   1305616 ns/op	 207.11 MB/s	  285138 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      177	   1301902 ns/op	 207.70 MB/s	  285250 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      168	   1401216 ns/op	 192.98 MB/s	  285609 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      184	   1261022 ns/op	 214.43 MB/s	  284994 B/op	       1 allocs/op
