BenchmarkJSON/TwitterStatus/Marshal      175	   1359295 ns/op	 464.59 MB/s	  524586 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      174	   1316275 ns/op	 479.77 MB/s	  524670 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      159	   1583564 ns/op	 398.79 MB/s	  526047 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      159	   1490397 ns/op	 423.72 MB/s	  526046 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      112	   1829644 ns/op	 345.16 MB/s	  532751 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      175	   1344307 ns/op	 469.77 MB/s	  524586 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      175	   1342872 ns/op	 470.27 MB/s	  524586 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      182	   1314855 ns/op	 480.29 MB/s	  524028 B/op	      89 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      182	   1300268 ns/op	 207.96 MB/s	  285065 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      186	   1284153 ns/op	 210.57 MB/s	  284925 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      174	   1337099 ns/op	 202.23 MB/s	  285365 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      187	   1346720 ns/op	 200.79 MB/s	  284891 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      178	   1315564 ns/op	 205.54 MB/s	  285212 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      171	   1355033 ns/op	 199.55 MB/s	  285485 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      180	   1348955 ns/op	 200.45 MB/s	  285138 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      175	   1370195 ns/op	 197.35 MB/s	  285326 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      176	   1326369 ns/op	 203.87 MB/s	  285287 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      181	   1364192 ns/op	 198.21 MB/s	  285101 B/op	       1 allocs/op
