BenchmarkJSON/UTF8Emoji/Unmarshal    68336	      4979 ns/op	 822.99 MB/s	      5007 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Emoji/Unmarshal    70521	      4578 ns/op	 895.20 MB/s	      4612 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    53505	      6253 ns/op	1637.89 MB/s	      6271 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    52316	      6277 ns/op	1631.61 MB/s	      6315 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    53392	      6139 ns/op	1668.39 MB/s	      6165 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    57075	      6248 ns/op	1639.33 MB/s	      6276 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    54673	      6253 ns/op	1637.87 MB/s	      6276 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    51022	      6281 ns/op	1630.52 MB/s	      6318 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    54880	      6418 ns/op	1595.92 MB/s	      6458 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    54324	      6640 ns/op	1542.36 MB/s	      6666 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    57470	      6229 ns/op	1644.19 MB/s	      6268 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    56650	      6183 ns/op	1656.43 MB/s	      6209 cpu-ns/op	   10880 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal    26898	     12025 ns/op	 851.72 MB/s	     12069 cpu-ns/op	   10240 B/op	       1 allocs/op
