BenchmarkJSON/StringUnicode/Unmarshal     9535	     39240 ns/op	 461.87 MB/s	     39139 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9322	     67543 ns/op	 268.33 MB/s	     67801 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7468	     42423 ns/op	 427.22 MB/s	     42638 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9166	     37424 ns/op	 484.29 MB/s	     37601 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/Records/Marshal     2604	    148838 ns/op	 194.11 MB/s	    149162 cpu-ns/op	   32828 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     1624	    219751 ns/op	 131.47 MB/s	    220203 cpu-ns/op	   32864 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2313	    144717 ns/op	 199.64 MB/s	    144996 cpu-ns/op	   32836 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2620	    143693 ns/op	 201.06 MB/s	    144232 cpu-ns/op	   32828 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2608	    141187 ns/op	 204.63 MB/s	    141674 cpu-ns/op	   32828 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2212	    152163 ns/op	 189.87 MB/s	    152524 cpu-ns/op	   32839 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2077	    157435 ns/op	 183.51 MB/s	    158413 cpu-ns/op	   32843 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2492	    146550 ns/op	 197.14 MB/s	    146913 cpu-ns/op	   32831 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2532	    146966 ns/op	 196.58 MB/s	    147447 cpu-ns/op	   32830 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2688	    148202 ns/op	 194.94 MB/s	    148516 cpu-ns/op	   32827 B/op	       1 allocs/op
BenchmarkJSON/Records/Unmarshal     1383	    279662 ns/op	 103.31 MB/s	    280317 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      292	   1066716 ns/op	  27.08 MB/s	   1042589 cpu-ns/op	    3314 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      427	    771147 ns/op	  37.46 MB/s	    767857 cpu-ns/op	    3308 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1482	    256102 ns/op	 112.81 MB/s	    256733 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1095	    292430 ns/op	  98.80 MB/s	    293312 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      991	    308886 ns/op	  93.53 MB/s	    309856 cpu-ns/op	    3301 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1275	    279654 ns/op	 103.31 MB/s	    280445 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1104	    318564 ns/op	  90.69 MB/s	    319686 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      387	   1309365 ns/op	  22.06 MB/s	   1309791 cpu-ns/op	    3310 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1464	    268192 ns/op	 107.73 MB/s	    271306 cpu-ns/op	    3299 B/op	     256 allocs/op
BenchmarkJSON/Small/Marshal   658281	       523.1 ns/op	 128.08 MB/s	       525.8 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   694214	       496.1 ns/op	 135.06 MB/s	       498.9 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   701078	       519.8 ns/op	 128.91 MB/s	       522.2 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   638324	       564.9 ns/op	 118.61 MB/s	       568.0 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   701016	       503.7 ns/op	 133.02 MB/s	       506.4 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   645838	       505.1 ns/op	 132.64 MB/s	       507.2 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   689368	       510.9 ns/op	 131.13 MB/s	       512.6 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   696438	       502.7 ns/op	 133.28 MB/s	       503.9 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   720228	       534.9 ns/op	 125.26 MB/s	       538.2 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   652477	       550.6 ns/op	 121.69 MB/s	       552.8 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   345783	       933.3 ns/op	  71.79 MB/s	       935.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   412825	       858.3 ns/op	  78.06 MB/s	       851.0 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   455706	       854.1 ns/op	  78.45 MB/s	       857.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   427375	       902.9 ns/op	  74.21 MB/s	       907.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   422061	       852.4 ns/op	  78.60 MB/s	       856.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   340524	       887.3 ns/op	  75.51 MB/s	       890.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   355515	       867.6 ns/op	  77.22 MB/s	       872.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   416850	       856.1 ns/op	  78.26 MB/s	       862.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   433186	       851.7 ns/op	  78.66 MB/s	       854.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   430650	       840.8 ns/op	  79.69 MB/s	       844.3 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Marshal   382994	       943.4 ns/op	4343.81 MB/s	       944.5 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   200362	      1546 ns/op	2650.50 MB/s	      1552 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   359656	       969.4 ns/op	4227.44 MB/s	       978.7 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   325814	      1082 ns/op	3786.60 MB/s	      1107 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   372446	       961.2 ns/op	4263.22 MB/s	       967.3 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   327394	      1069 ns/op	3832.53 MB/s	      1073 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   390720	       910.0 ns/op	4503.52 MB/s	       921.0 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   337062	      1022 ns/op	4009.44 MB/s	      1034 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   297903	      1023 ns/op	4007.32 MB/s	      1032 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   339150	      1060 ns/op	3865.82 MB/s	      1068 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   224457	      1368 ns/op	2995.82 MB/s	      1368 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   286108	      1267 ns/op	3234.21 MB/s	      1277 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   287158	      1285 ns/op	3190.26 MB/s	      1289 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   271726	      1339 ns/op	3061.01 MB/s	      1346 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   267321	      1348 ns/op	3040.92 MB/s	      1352 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   251550	      1440 ns/op	2846.28 MB/s	      1447 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   206594	      1667 ns/op	2458.39 MB/s	      1673 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   248349	      1410 ns/op	2906.81 MB/s	      1414 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   254445	      1413 ns/op	2900.70 MB/s	      1423 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   152120	      2247 ns/op	1823.52 MB/s	      2266 cpu-ns/op	    4096 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   292419	      1221 ns/op	3394.74 MB/s	      1226 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   284271	      1264 ns/op	3280.55 MB/s	      1271 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   246070	      1246 ns/op	3326.17 MB/s	      1253 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   284210	      1224 ns/op	3386.04 MB/s	      1229 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   254691	      1355 ns/op	3060.66 MB/s	      1359 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   273417	      1261 ns/op	3288.80 MB/s	      1268 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   315345	      1170 ns/op	3543.36 MB/s	      1179 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   160862	      2051 ns/op	2021.16 MB/s	      2059 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   311991	      1170 ns/op	3544.43 MB/s	      1174 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   290110	      1233 ns/op	3363.01 MB/s	      1242 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   176551	      1855 ns/op	2234.59 MB/s	      1863 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   177348	      1813 ns/op	2287.08 MB/s	      1821 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   159434	      1923 ns/op	2155.52 MB/s	      1936 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   188407	      1791 ns/op	2314.80 MB/s	      1805 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   177312	      1843 ns/op	2249.45 MB/s	      1853 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   180814	      1868 ns/op	2219.42 MB/s	      1876 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   172713	      2033 ns/op	2039.22 MB/s	      2053 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   162618	      1904 ns/op	2177.86 MB/s	      1919 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   191083	      1885 ns/op	2199.08 MB/s	      1895 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   182100	      1821 ns/op	2277.20 MB/s	      1829 cpu-ns/op	    4864 B/op	       1 allocs/op
