BenchmarkJSON/StringEscaped/Marshal    10000	     65230 ns/op	 644.82 MB/s	   18441 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    17817	     20122 ns/op	2090.31 MB/s	   18437 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal    15482	     22550 ns/op	1865.32 MB/s	   18438 B/op	       1 allocs/op
BenchmarkJSON/GolangSource/Marshal       51	   6757271 ns/op	 287.17 MB/s	 2149221 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   6819754 ns/op	 284.54 MB/s	 2153378 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       27	  13000889 ns/op	 149.26 MB/s	 2333849 B/op	       3 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   6902633 ns/op	 281.12 MB/s	 2153378 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       45	   7375775 ns/op	 263.09 MB/s	 2176917 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   6968088 ns/op	 278.48 MB/s	 2153376 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       51	   6778712 ns/op	 286.26 MB/s	 2149224 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       50	   6827647 ns/op	 284.21 MB/s	 2153376 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       51	   7906523 ns/op	 245.43 MB/s	 2149224 B/op	       2 allocs/op
BenchmarkJSON/GolangSource/Marshal       48	   7252926 ns/op	 267.54 MB/s	 2162204 B/op	       2 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      255	   1313431 ns/op	 480.81 MB/s	  520032 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      159	   2019891 ns/op	 312.65 MB/s	  526045 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      265	   1554507 ns/op	 406.25 MB/s	  519657 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      186	   1806043 ns/op	 349.67 MB/s	  523728 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      280	   1283663 ns/op	 491.96 MB/s	  519143 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      172	   2061944 ns/op	 306.27 MB/s	  524839 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      270	   1288811 ns/op	 490.00 MB/s	  519479 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      264	   1271829 ns/op	 496.54 MB/s	  519693 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      277	   1451307 ns/op	 435.13 MB/s	  519241 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      234	   1461922 ns/op	 431.98 MB/s	  520926 B/op	      89 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      267	   1469115 ns/op	 184.06 MB/s	  282989 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      231	   1525786 ns/op	 177.22 MB/s	  283682 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      225	   1656194 ns/op	 163.27 MB/s	  283819 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      261	   1389112 ns/op	 194.66 MB/s	  283091 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      261	   1333585 ns/op	 202.76 MB/s	  283091 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      100	   4643957 ns/op	  58.23 MB/s	  290414 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      100	   9345810 ns/op	  28.93 MB/s	  290414 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      255	   1553260 ns/op	 174.09 MB/s	  283198 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      188	   1755696 ns/op	 154.01 MB/s	  284857 B/op	       1 allocs/op
BenchmarkJSON/CanadaGeometry/Marshal      180	   1825364 ns/op	 148.14 MB/s	  285138 B/op	       1 allocs/op
