BenchmarkJSON/UTF8Mixed/Marshal    14221	     25004 ns/op	 409.61 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Marshal    12733	     28112 ns/op	 364.33 MB/s	   10881 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     7128	     44088 ns/op	 411.09 MB/s	   18444 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     9091	     46176 ns/op	 392.50 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     8762	     46122 ns/op	 392.96 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     4142	     73898 ns/op	 245.26 MB/s	   18452 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     7591	     52544 ns/op	 344.93 MB/s	   18443 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     8979	     42239 ns/op	 429.08 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     8264	     44139 ns/op	 410.61 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     8425	     70924 ns/op	 255.54 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     4389	     75239 ns/op	 240.89 MB/s	   18451 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Marshal     7809	     54604 ns/op	 331.91 MB/s	   18443 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     2719	    174980 ns/op	 240.38 MB/s	   18463 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     7304	     44884 ns/op	 937.12 MB/s	   18444 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     7911	     39349 ns/op	1068.94 MB/s	   18443 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     8805	     38741 ns/op	1085.74 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     4755	     98284 ns/op	 427.97 MB/s	   18450 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     8868	     55108 ns/op	 763.26 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     8640	     66567 ns/op	 631.87 MB/s	   18442 B/op	       1 allocs/op
BenchmarkJSON/StringEscaped/Marshal     5212	     57921 ns/op	 726.20 MB/s	   18448 B/op	       1 allocs/op
