comparison,case,op,repeat,binary,n,Ir,Bc,Bcm,Bi,Bim
cache-fresh-counts,StringEnums,Unmarshal,0,before,3,2417717.3333333335,367788.0,7329.333333333333,1548.0,518.3333333333334
cache-fresh-counts,StringEnums,Unmarshal,0,cache,3,2256103.3333333335,336933.3333333333,8148.333333333333,1546.6666666666667,517.6666666666666
cache-fresh-counts,StringEnums,Unmarshal,1,cache,3,2256022.6666666665,337223.3333333333,8166.666666666667,1546.6666666666667,517.6666666666666
cache-fresh-counts,StringEnums,Unmarshal,1,before,3,2413784.3333333335,364382.3333333333,7298.0,1548.0,518.3333333333334
cache-fresh-counts,StringEnums,Unmarshal,2,before,3,2415141.6666666665,365343.6666666667,7283.333333333333,1548.0,518.3333333333334
cache-fresh-counts,StringEnums,Unmarshal,2,cache,3,2255955.0,337224.0,8163.333333333333,1546.6666666666667,517.6666666666666
fallback-counts,UTF8CJK,Unmarshal,0,cache,200,88399.5,3573.61,24.695,5.875,0.08
fallback-counts,UTF8CJK,Unmarshal,0,final,200,88030.95,3464.765,22.495,6.34,0.055
fallback-counts,UTF8CJK,Unmarshal,1,final,200,87882.435,3450.475,21.755,5.185,0.045
fallback-counts,UTF8CJK,Unmarshal,1,cache,200,88000.89,3459.23,23.925,6.26,0.08
fallback-counts,UTF8CJK,Unmarshal,2,cache,200,88340.535,3562.625,23.55,5.815,0.055
fallback-counts,UTF8CJK,Unmarshal,2,final,200,87886.58,3452.025,21.715,5.185,0.045
fallback-counts,UTF8Mixed,Unmarshal,0,cache,200,103298.815,4282.905,330.525,6.22,0.065
fallback-counts,UTF8Mixed,Unmarshal,0,final,200,102802.13,4163.89,331.065,5.615,0.08
fallback-counts,UTF8Mixed,Unmarshal,1,final,200,102757.645,4157.615,329.44,5.59,0.055
fallback-counts,UTF8Mixed,Unmarshal,1,cache,200,102781.01,4156.76,329.34,5.615,0.08
fallback-counts,UTF8Mixed,Unmarshal,2,cache,200,102747.425,4151.76,328.165,5.59,0.055
fallback-counts,UTF8Mixed,Unmarshal,2,final,200,103189.51,4273.48,331.125,6.325,0.065
fallback-counts,StringUnicode,Unmarshal,0,cache,3,324975.6666666667,29747.666666666668,1193.0,67.0,3.0
fallback-counts,StringUnicode,Unmarshal,0,final,3,325815.6666666667,30107.666666666668,1144.0,67.0,3.0
fallback-counts,StringUnicode,Unmarshal,1,final,3,325618.6666666667,30080.0,1134.3333333333333,67.0,3.0
fallback-counts,StringUnicode,Unmarshal,1,cache,3,324947.6666666667,29743.666666666668,1189.3333333333333,67.0,3.0
fallback-counts,StringUnicode,Unmarshal,2,cache,3,324991.6666666667,29747.666666666668,1192.0,67.0,3.0
fallback-counts,StringUnicode,Unmarshal,2,final,3,325843.6666666667,30111.666666666668,1144.0,67.0,3.0
