BenchmarkJSON/StringUnicode/Unmarshal     3082	     79690 ns/op	 227.43 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3042	     82403 ns/op	 219.94 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2565	     84447 ns/op	 214.62 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3042	    100430 ns/op	 180.46 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3249	     85325 ns/op	 212.41 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2872	     80217 ns/op	 225.94 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3189	     81629 ns/op	 222.03 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       84	   3683764 ns/op	 171.43 MB/s	  209388 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       80	   3148496 ns/op	 200.58 MB/s	  209391 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       79	   2978059 ns/op	 212.06 MB/s	  209392 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       79	   3255783 ns/op	 193.97 MB/s	  209392 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       74	   3060244 ns/op	 206.36 MB/s	  209398 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       84	   3191632 ns/op	 197.87 MB/s	  209386 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       85	   2835391 ns/op	 222.73 MB/s	  209385 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       80	   3031565 ns/op	 208.31 MB/s	  209389 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       79	   3082579 ns/op	 204.87 MB/s	  209392 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       86	   3225942 ns/op	 195.76 MB/s	  209384 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       97	   2771260 ns/op	  97.57 MB/s	      57 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   2537682 ns/op	 106.56 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       82	   2541062 ns/op	 106.41 MB/s	      67 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   2666989 ns/op	 101.39 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   2854086 ns/op	  94.74 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       93	   2665786 ns/op	 101.43 MB/s	      59 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       99	   2827519 ns/op	  95.63 MB/s	      56 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       87	   2580278 ns/op	 104.80 MB/s	      63 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       93	   2725453 ns/op	  99.21 MB/s	      59 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       86	   2575676 ns/op	 104.98 MB/s	      64 B/op	       0 allocs/op
