BenchmarkJSON/GolangSource/Unmarshal       24	  14622389 ns/op	 132.71 MB/s	  14646250 cpu-ns/op	  389949 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14305162 ns/op	 135.65 MB/s	  14334360 cpu-ns/op	  389936 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  14777878 ns/op	 131.31 MB/s	  14813040 cpu-ns/op	  389936 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14940834 ns/op	 129.88 MB/s	  14976708 cpu-ns/op	  389948 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14553650 ns/op	 133.33 MB/s	  14584708 cpu-ns/op	  389949 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14618536 ns/op	 132.74 MB/s	  14660667 cpu-ns/op	  389949 B/op	   11672 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  14910699 ns/op	 130.14 MB/s	  14943917 cpu-ns/op	  389948 B/op	   11672 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8215	     37291 ns/op	 486.01 MB/s	     37439 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8671	     39679 ns/op	 456.76 MB/s	     39845 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8630	     44563 ns/op	 406.71 MB/s	     44982 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     1030	    519650 ns/op	  34.88 MB/s	    521002 cpu-ns/op	   15480 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     9693	     39366 ns/op	 460.40 MB/s	     39475 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     5677	     58932 ns/op	 307.54 MB/s	     58973 cpu-ns/op	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8079	     41516 ns/op	 436.55 MB/s	     41656 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7916	     42712 ns/op	 424.33 MB/s	     42928 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     8323	     41810 ns/op	 433.49 MB/s	     41921 cpu-ns/op	   15473 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     7914	     43937 ns/op	 412.50 MB/s	     44270 cpu-ns/op	   15473 B/op	      49 allocs/op
