BenchmarkJSON/Records/Marshal     2695	    143995 ns/op	 200.64 MB/s	    144361 cpu-ns/op	   32826 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     2160	    142221 ns/op	 203.14 MB/s	    143015 cpu-ns/op	   32841 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     1688	    217744 ns/op	 132.68 MB/s	    218821 cpu-ns/op	   32861 B/op	       1 allocs/op
BenchmarkJSON/Records/Marshal     1766	    219645 ns/op	 131.53 MB/s	    220150 cpu-ns/op	   32856 B/op	       1 allocs/op
BenchmarkJSON/Records/Unmarshal     1268	    273223 ns/op	 105.74 MB/s	    273331 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1208	    277303 ns/op	 104.19 MB/s	    278034 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1374	    277487 ns/op	 104.12 MB/s	    277885 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1304	    285767 ns/op	 101.10 MB/s	    286566 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1173	    286249 ns/op	 100.93 MB/s	    286690 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      680	    503736 ns/op	  57.35 MB/s	    495862 cpu-ns/op	    3304 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1155	    278176 ns/op	 103.86 MB/s	    278759 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1383	    269710 ns/op	 107.12 MB/s	    270354 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal     1294	    279415 ns/op	 103.40 MB/s	    279837 cpu-ns/op	    3300 B/op	     256 allocs/op
BenchmarkJSON/Records/Unmarshal      734	    414991 ns/op	  69.62 MB/s	    415292 cpu-ns/op	    3303 B/op	     256 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   298974	      1249 ns/op	3318.83 MB/s	      1252 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   251505	      1585 ns/op	2615.71 MB/s	      1585 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   285334	      1262 ns/op	3286.12 MB/s	      1269 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   260988	      1271 ns/op	3261.23 MB/s	      1278 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   272115	      1298 ns/op	3194.95 MB/s	      1303 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   237513	      1368 ns/op	3029.97 MB/s	      1377 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   263077	      1326 ns/op	3126.42 MB/s	      1307 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   261715	      1247 ns/op	3323.64 MB/s	      1255 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   242595	      1287 ns/op	3220.71 MB/s	      1299 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Marshal   277323	      1276 ns/op	3248.15 MB/s	      1281 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   183835	      1820 ns/op	2278.31 MB/s	      1826 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   193020	      1850 ns/op	2241.28 MB/s	      1857 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   167680	      1846 ns/op	2245.71 MB/s	      1857 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal    85544	      3638 ns/op	1139.55 MB/s	      3653 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   171314	      1886 ns/op	2198.36 MB/s	      1904 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   166358	      1943 ns/op	2133.34 MB/s	      1956 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   162568	      1987 ns/op	2086.14 MB/s	      1989 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   163366	      1857 ns/op	2232.84 MB/s	      1867 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   170832	      1794 ns/op	2311.05 MB/s	      1801 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/UnicodeRuns/Unmarshal   171747	      1816 ns/op	2282.94 MB/s	      1823 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   668322	       534.6 ns/op	 125.32 MB/s	       537.9 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   664075	       542.8 ns/op	 123.44 MB/s	       546.1 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   703375	       534.5 ns/op	 125.35 MB/s	       536.5 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   385932	       966.3 ns/op	  69.34 MB/s	       970.3 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   684992	       534.3 ns/op	 125.39 MB/s	       536.0 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   683560	       529.5 ns/op	 126.53 MB/s	       531.7 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   414482	       897.8 ns/op	  74.63 MB/s	       901.0 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   419955	       910.3 ns/op	  73.60 MB/s	       913.4 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   725646	       542.4 ns/op	 123.52 MB/s	       545.2 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Marshal   682063	       523.2 ns/op	 128.07 MB/s	       525.2 cpu-ns/op	      80 B/op	       1 allocs/op
BenchmarkJSON/Small/Unmarshal   402898	       911.5 ns/op	  73.50 MB/s	       915.4 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   402144	       917.9 ns/op	  72.99 MB/s	       921.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   410016	       899.2 ns/op	  74.51 MB/s	       902.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   404046	       890.5 ns/op	  75.24 MB/s	       893.6 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   337760	       909.1 ns/op	  73.70 MB/s	       914.1 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   425745	       943.9 ns/op	  70.99 MB/s	       947.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   415844	       919.9 ns/op	  72.84 MB/s	       922.8 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   414172	       897.0 ns/op	  74.69 MB/s	       900.5 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   389967	       927.5 ns/op	  72.24 MB/s	       930.7 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/Small/Unmarshal   329845	       949.5 ns/op	  70.56 MB/s	       953.9 cpu-ns/op	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Marshal   363816	       977.0 ns/op	4194.51 MB/s	       983.0 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   308774	       973.3 ns/op	4210.32 MB/s	       977.8 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   372788	       958.0 ns/op	4277.81 MB/s	       967.3 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   244682	      1475 ns/op	2778.36 MB/s	      1487 cpu-ns/op	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   371521	       958.1 ns/op	4276.99 MB/s	       965.8 cpu-ns/op	    4864 B/op	       1 allocs/op
