BenchmarkJSON/TwitterStatus/Marshal      259	   1288361 ns/op	 490.17 MB/s	   1291062 cpu-ns/op	  519879 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      294	   1303950 ns/op	 484.31 MB/s	   1307078 cpu-ns/op	  518711 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      285	   1284007 ns/op	 491.83 MB/s	   1287032 cpu-ns/op	  518984 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      270	   1313562 ns/op	 480.76 MB/s	   1317996 cpu-ns/op	  519479 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      272	   1334836 ns/op	 473.10 MB/s	   1338489 cpu-ns/op	  519408 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Marshal      276	   1299581 ns/op	 485.94 MB/s	   1302598 cpu-ns/op	  519274 B/op	      89 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      127	   2830104 ns/op	 223.14 MB/s	   2837283 cpu-ns/op	  209429 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2737600 ns/op	 230.68 MB/s	   2744662 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2713635 ns/op	 232.72 MB/s	   2722062 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2818397 ns/op	 224.07 MB/s	   2823211 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      121	   2934990 ns/op	 215.17 MB/s	   2931736 cpu-ns/op	  209433 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      130	   2799725 ns/op	 225.56 MB/s	   2807015 cpu-ns/op	  209428 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       75	   4609137 ns/op	 137.01 MB/s	   4618587 cpu-ns/op	  209470 B/op	    2534 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      123	   2983697 ns/op	 211.65 MB/s	   2992959 cpu-ns/op	  209430 B/op	    2533 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      128	   2815865 ns/op	 224.27 MB/s	   2822391 cpu-ns/op	  209427 B/op	    2533 allocs/op
