BenchmarkJSON/ASCII4096/Marshal    71060	      4343 ns/op	 943.68 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    61812	      5893 ns/op	 695.36 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    56859	      5556 ns/op	 737.60 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    59115	      6169 ns/op	 664.29 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    64711	      5790 ns/op	 707.80 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    59668	      5850 ns/op	 700.53 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    58489	      6852 ns/op	 598.11 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    67640	      6018 ns/op	 680.92 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    24031	     12989 ns/op	 315.49 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    50470	      6160 ns/op	 665.26 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal    58941	      6376 ns/op	 642.77 MB/s	    4096 B/op	       1 allocs/op
