BenchmarkJSON/ASCII256/Unmarshal  1929032	       179.6 ns/op	1436.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2192571	       159.9 ns/op	1613.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  1411597	       243.1 ns/op	1061.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2165584	       168.3 ns/op	1532.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2164794	       171.8 ns/op	1502.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2156722	       165.3 ns/op	1560.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2245200	       161.9 ns/op	1593.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII256/Unmarshal  2215030	       163.7 ns/op	1576.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkJSON/ASCII4096/Marshal   286405	      1059 ns/op	3870.84 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   306056	      1003 ns/op	4086.72 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   315148	       977.4 ns/op	4192.73 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   311095	      1110 ns/op	3693.17 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   385026	       933.7 ns/op	4389.01 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   305058	      1026 ns/op	3993.95 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   355423	       999.6 ns/op	4099.65 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   300769	      1015 ns/op	4038.72 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   353676	      1001 ns/op	4095.82 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Marshal   282126	      1129 ns/op	3630.07 MB/s	    4864 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   247702	      1427 ns/op	2871.02 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   233894	      1397 ns/op	2932.90 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   206168	      2167 ns/op	1890.93 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   253600	      1380 ns/op	2969.17 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   226824	      1475 ns/op	2778.24 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   230356	      1341 ns/op	3055.97 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   207337	      1512 ns/op	2710.06 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   235605	      1438 ns/op	2850.12 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   174985	      1754 ns/op	2337.02 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/ASCII4096/Unmarshal   219586	      1590 ns/op	2577.21 MB/s	    4096 B/op	       1 allocs/op
