BenchmarkJSON/TwitterStatus/Unmarshal       78	   3357048 ns/op	 188.12 MB/s	  209394 B/op	    2531 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       82	   2909315 ns/op	 217.07 MB/s	  209388 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       85	   4739707 ns/op	 133.24 MB/s	  209387 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       87	   2585105 ns/op	 104.60 MB/s	      63 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       94	   2446980 ns/op	 110.50 MB/s	      59 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       93	   2579189 ns/op	 104.84 MB/s	      59 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      100	   2418659 ns/op	 111.80 MB/s	      55 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       96	   2502103 ns/op	 108.07 MB/s	      57 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       96	   2551764 ns/op	 105.97 MB/s	      57 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       85	   2399139 ns/op	 112.71 MB/s	      65 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       68	   3229150 ns/op	  83.74 MB/s	      81 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       92	   2592404 ns/op	 104.31 MB/s	      60 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       96	   2538302 ns/op	 106.53 MB/s	      57 B/op	       0 allocs/op
