BenchmarkJSON/GolangSource/Unmarshal       15	  15171785 ns/op	 127.90 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       10	  33203423 ns/op	  58.44 MB/s	  390695 B/op	   11709 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  17372334 ns/op	 111.70 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       16	  15074435 ns/op	 128.73 MB/s	  390446 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  19403239 ns/op	 100.01 MB/s	  390476 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15616475 ns/op	 124.26 MB/s	  390476 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       14	  17265547 ns/op	 112.39 MB/s	  390508 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  15675618 ns/op	 123.79 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14903794 ns/op	 130.20 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       15	  14951204 ns/op	 129.79 MB/s	  390475 B/op	   11708 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      600	    435216 ns/op	  96.65 MB/s	   59583 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      544	    419998 ns/op	 100.15 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      571	    430386 ns/op	  97.73 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      572	    443959 ns/op	  94.74 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      573	    418191 ns/op	 100.58 MB/s	   59584 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      308	    682744 ns/op	  61.61 MB/s	   59596 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      423	    478167 ns/op	  87.97 MB/s	   59589 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      100	   2358281 ns/op	  17.84 MB/s	   59648 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      496	    480397 ns/op	  87.56 MB/s	   59586 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      510	    430091 ns/op	  97.80 MB/s	   59585 B/op	     167 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3054	     90388 ns/op	 200.51 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2918	    120011 ns/op	 151.02 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2149	    105541 ns/op	 171.72 MB/s	   15476 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2367	     98814 ns/op	 183.42 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2601	    248054 ns/op	  73.06 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2876	     79962 ns/op	 226.66 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3018	     84747 ns/op	 213.86 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3042	     79725 ns/op	 227.33 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2559	     97822 ns/op	 185.28 MB/s	   15475 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2752	     79777 ns/op	 227.18 MB/s	   15475 B/op	      49 allocs/op
