BenchmarkJSON/UTF8Emoji/Unmarshal    24748	     13973 ns/op	 293.28 MB/s	    4096 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     6760	     50686 ns/op	 202.07 MB/s	   10241 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     7905	     44266 ns/op	 231.37 MB/s	   10241 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     6117	     52207 ns/op	 196.18 MB/s	   10241 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     4531	     71165 ns/op	 143.92 MB/s	   10241 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     8480	     42050 ns/op	 243.57 MB/s	   10241 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     8662	     41723 ns/op	 245.48 MB/s	   10241 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     9151	     39294 ns/op	 260.65 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     9182	     40077 ns/op	 255.56 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     8910	     40500 ns/op	 252.89 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/UTF8Mixed/Unmarshal     9028	     41816 ns/op	 244.93 MB/s	   10240 B/op	       1 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4680	     77135 ns/op	 234.96 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4333	     81530 ns/op	 222.30 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4695	     80622 ns/op	 224.80 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3696	     82256 ns/op	 220.34 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4432	     88524 ns/op	 204.74 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     2248	    167015 ns/op	 108.52 MB/s	   15476 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     4150	     86155 ns/op	 210.36 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3463	     92223 ns/op	 196.52 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3685	     94207 ns/op	 192.38 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringUnicode/Unmarshal     3511	     95265 ns/op	 190.25 MB/s	   15474 B/op	      49 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      830	    434396 ns/op	  96.83 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      766	    456431 ns/op	  92.15 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      678	    516343 ns/op	  81.46 MB/s	   59582 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      784	    444721 ns/op	  94.58 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      789	    503188 ns/op	  83.59 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      506	    706188 ns/op	  59.56 MB/s	   59585 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      814	    441845 ns/op	  95.20 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      832	    419454 ns/op	 100.28 MB/s	   59579 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      739	    444572 ns/op	  94.61 MB/s	   59581 B/op	     167 allocs/op
BenchmarkJSON/StringEscaped/Unmarshal      780	    432047 ns/op	  97.36 MB/s	   59580 B/op	     167 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  15352674 ns/op	 126.39 MB/s	  390293 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  20981052 ns/op	  92.49 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       21	  14881142 ns/op	 130.40 MB/s	  390341 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       25	  17535912 ns/op	 110.66 MB/s	  390295 B/op	   11707 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       18	  19835802 ns/op	  97.83 MB/s	  390397 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  15725423 ns/op	 123.40 MB/s	  390332 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15161274 ns/op	 127.99 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       20	  15897458 ns/op	 122.06 MB/s	  390359 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       22	  16247296 ns/op	 119.43 MB/s	  390326 B/op	   11708 allocs/op
BenchmarkJSON/GolangSource/Unmarshal       24	  15835392 ns/op	 122.54 MB/s	  390305 B/op	   11708 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      124	   2881142 ns/op	 219.19 MB/s	  209360 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   5228713 ns/op	 120.78 MB/s	  209374 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   4128815 ns/op	 152.95 MB/s	  209373 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3055016 ns/op	 206.71 MB/s	  209373 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3796256 ns/op	 166.35 MB/s	  209373 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      100	   3121543 ns/op	 202.31 MB/s	  209373 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      111	   3181165 ns/op	 198.52 MB/s	  209366 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal       92	   3572964 ns/op	 176.75 MB/s	  209379 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      122	   2970364 ns/op	 212.60 MB/s	  209361 B/op	    2530 allocs/op
BenchmarkJSON/TwitterStatus/Unmarshal      120	   2979617 ns/op	 211.94 MB/s	  209361 B/op	    2530 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      136	   3026317 ns/op	  89.35 MB/s	      40 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      136	   2673058 ns/op	 101.16 MB/s	      40 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      133	   2703093 ns/op	 100.03 MB/s	      41 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal       67	   4511936 ns/op	  59.93 MB/s	      82 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      133	   2657515 ns/op	 101.75 MB/s	      41 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      130	   2714338 ns/op	  99.62 MB/s	      42 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      133	   2659084 ns/op	 101.69 MB/s	      41 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      138	   2599377 ns/op	 104.03 MB/s	      40 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      130	   2732658 ns/op	  98.95 MB/s	      42 B/op	       0 allocs/op
BenchmarkJSON/CanadaGeometry/Unmarshal      133	   2683218 ns/op	 100.78 MB/s	      41 B/op	       0 allocs/op
